time_ms,time,IC3
1261.719,1.261719,-0.1072162
1265.625,1.265625,0.7130491
1269.531,1.269531,0.6113358
1273.438,1.273438,0.05409646
1277.344,1.277344,0.003982484
1281.25,1.28125,0.7474526
1285.156,1.285156,1.652917
1289.062,1.289062,2.093573
1292.969,1.292969,2.257869
1296.875,1.296875,2.764552
1300.781,1.300781,3.743782
1304.688,1.304688,4.582181
1308.594,1.308594,4.621552
1312.5,1.3125,3.826544
1316.406,1.316406,2.651349
1320.312,1.320312,1.54265
1324.219,1.324219,0.7616941
1328.125,1.328125,0.4909239
1332.031,1.332031,0.7205403
1335.938,1.335938,0.9844637
1339.844,1.339844,0.5452079
1343.75,1.34375,-0.8621573
1347.656,1.347656,-2.574224
1351.562,1.351562,-3.56092
1355.469,1.355469,-3.40443
1359.375,1.359375,-2.566012
1363.281,1.363281,-1.687915
1367.188,1.367188,-0.8974414
1371.094,1.371094,-0.000559807
1375,1.375,0.9053455
1378.906,1.378906,1.345601
1382.812,1.382812,1.101487
1386.719,1.386719,0.6386948
1390.625,1.390625,0.6780486
1394.531,1.394531,1.37381
1398.438,1.398438,2.072649
1402.344,1.402344,2.032966
1406.25,1.40625,1.211698
1410.156,1.410156,0.2996026
1414.062,1.414062,-0.005957931
1417.969,1.417969,0.2887537
1421.875,1.421875,0.5420969
1425.781,1.425781,0.140149
1429.688,1.429688,-0.9246618
1433.594,1.433594,-2.123839
1437.5,1.4375,-2.936908
1441.406,1.441406,-3.271406
1445.312,1.445312,-3.37385
1449.219,1.449219,-3.394033
1453.125,1.453125,-3.200571
1457.031,1.457031,-2.611296
1460.938,1.460938,-1.670105
1464.844,1.464844,-0.6334254
1468.75,1.46875,0.2710649
1472.656,1.472656,0.9418396
1476.562,1.476562,1.232409
1480.469,1.480469,0.8864536
1484.375,1.484375,-0.1795003
1488.281,1.488281,-1.518584
1492.188,1.492188,-2.311158
1496.094,1.496094,-2.08999
1500,1.5,-1.222889
1503.906,1.503906,-0.5722061
1507.812,1.507812,-0.6353463
1511.719,1.511719,-1.132858
1515.625,1.515625,-1.544576
1519.531,1.519531,-1.856658
1523.438,1.523438,-2.572152
1527.344,1.527344,-3.975841
1531.25,1.53125,-5.607737
1535.156,1.535156,-6.678742
1539.062,1.539062,-6.875422
1542.969,1.542969,-6.526122
1546.875,1.546875,-5.956966
1550.781,1.550781,-5.006405
1554.688,1.554688,-3.43733
1558.594,1.558594,-1.654822
1562.5,1.5625,-0.588598
1566.406,1.566406,-0.6476381
1570.312,1.570312,-1.08888
1574.219,1.574219,-0.8228536
1578.125,1.578125,0.2219953
1582.031,1.582031,0.9658135
1585.938,1.585938,0.5474205
1589.844,1.589844,-0.5178965
1593.75,1.59375,-0.9393348
1597.656,1.597656,-0.3112184
1601.562,1.601562,0.3113174
1605.469,1.605469,-0.2882645
1609.375,1.609375,-1.95768
1613.281,1.613281,-3.371654
1617.188,1.617188,-3.653465
1621.094,1.621094,-3.339316
1625,1.625,-3.546993
1628.906,1.628906,-4.506229
1632.812,1.632812,-5.311434
1636.719,1.636719,-5.048597
1640.625,1.640625,-3.829158
1644.531,1.644531,-2.567629
1648.438,1.648438,-1.99678
1652.344,1.652344,-2.124543
1656.25,1.65625,-2.469375
1660.156,1.660156,-2.575124
1664.062,1.664062,-2.250304
1667.969,1.667969,-1.607748
1671.875,1.671875,-1.047556
1675.781,1.675781,-1.024171
1679.688,1.679688,-1.653511
1683.594,1.683594,-2.52275
1687.5,1.6875,-3.077091
1691.406,1.691406,-3.22556
1695.312,1.695312,-3.411079
1699.219,1.699219,-4.016398
1703.125,1.703125,-4.76203
